lalka_1_01_f000001|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?|Jak wygląda firma J. Mincel i S. Wokulski przez szkło butelek?
lalka_1_03_f000176|Wówczas zbliżał się do niej stary Mincel i całował ją w rękę, mówiąc:|Wówczas zbliżał się do niej stary Mincel i całował ją w rękę mówiąc:
lalka_1_03_f000177|Gut Morgen, meine Mutter!|Gut Morgen meine Mutter!
lalka_1_03_f000178|Zaco dostawał kubek kawy z trzema bułkami.|Zaco dostawał kubek kawy z trzema bułkami.
lalka_1_03_f000179|Potem przychodził Franc Mincel, Jan Mincel, August Katz, a na końcu ja. Każdy całował staruszkę w suchą rękę, porysowaną niebieskiemi żyłami, każdy mówił:|Potem przychodził Franc Mincel Jan Mincel August Katz a na końcu ja. Każdy całował staruszkę w suchą rękę porysowaną niebieskiemi żyłami każdy mówił:
lalka_1_03_f000180|Gut Morgen, Grossmutter!|Gut Morgen Grossmutter!
lalka_1_03_f000181|I otrzymywał należny mu kubek, tudzież trzy bułki.|I otrzymywał należny mu kubek tudzież trzy bułki.
lalka_1_03_f000182|A gdyśmy z pośpiechem wypili naszę kawę, służąca zabierała pusty kosz i zamazane kubki, staruszka swój dzbanek i obie znikały.|A gdyśmy z pośpiechem wypili naszę kawę służąca zabierała pusty kosz i zamazane kubki staruszka swój dzbanek i obie znikały.
lalka_1_03_f000183|Za oknem wciąż toczyły się wozy i płynął w obie strony potok ludzki, z którego cochwila odrywał się ktoś i wchodził do sklepu.|Za oknem wciąż toczyły się wozy i płynął w obie strony potok ludzki z którego cochwila odrywał się ktoś i wchodził do sklepu.
lalka_1_03_f000184|Proszę krochmalu.|Proszę krochmalu.
lalka_1_03_f000185|Dać migdałów za dziesiątkę.|Dać migdałów za dziesiątkę.
lalka_1_03_f000186|Lukrecyi za grosz.|Lukrecyi za grosz.
lalka_1_03_f000187|Szarego mydła.|Szarego mydła.
lalka_1_03_f000188|Około południa zmniejszał się ruch za kontuarem towarów kolonialnych, a za to coraz częściej zjawiali się interesanci po stronie prawej sklepu, u Jana.|Około południa zmniejszał się ruch za kontuarem towarów kolonialnych a za to coraz częściej zjawiali się interesanci po stronie prawej sklepu u Jana.
lalka_1_03_f000189|Tu kupowano talerze, szklanki, żelazka, młynki, lalki, a niekiedy duże parasole szafirowe lub pąsowe.|Tu kupowano talerze szklanki żelazka młynki lalki a niekiedy duże parasole szafirowe lub pąsowe.
lalka_1_03_f000190|Nabywcy, kobiety i mężczyźni, byli dobrze ubrani, rozsiadali się na krzesłach i kazali sobie pokazywać mnóstwo przedmiotów, targując się i żądając coraz to nowych.|Nabywcy kobiety i mężczyźni byli dobrze ubrani rozsiadali się na krzesłach i kazali sobie pokazywać mnóstwo przedmiotów targując się i żądając coraz to nowych.
lalka_1_03_f000191|Pamiętam, że kiedy po lewej stronie sklepu męczyłem się bieganiną i zawijaniem towarów, po prawej - największe strapienie robiła mi myśl: czego ten a ten gość chce naprawdę, i - czy co kupi?|Pamiętam że kiedy po lewej stronie sklepu męczyłem się bieganiną i zawijaniem towarów po prawej - największe strapienie robiła mi myśl: czego ten a ten gość chce naprawdę i - czy co kupi?
lalka_1_03_f000192|W rezultacie jednak i tutaj dużo się sprzedawało; nawet dzienny dochód z galanterii był kilka razy większy, aniżeli z towarów kolonialnych i mydła.|W rezultacie jednak i tutaj dużo się sprzedawało; nawet dzienny dochód z galanterii był kilka razy większy aniżeli z towarów kolonialnych i mydła.
lalka_1_03_f000193|Stary Mincel i w niedzielę bywał w sklepie. Rano modlił się, a około południa kazał mi przychodzić do siebie, na pewien rodzaj lekcyi.|Stary Mincel i w niedzielę bywał w sklepie. Rano modlił się a około południa kazał mi przychodzić do siebie na pewien rodzaj lekcyi.
lalka_1_03_f000194|Sag mir - powiedz mi: was ist das? co jest to? Das ist Schublade - to jest szublada.|Sag mir - powiedz mi: was ist das? co jest to? Das ist Schublade - to jest szublada.
lalka_1_03_f000195|Zobacz co jest w te szublade. Es ist Zimmt - to jest cynamon.|Zobacz co jest w te szublade. Es ist Zimmt - to jest cynamon.
lalka_1_03_f000196|Do czego potrzebuje się cynamon. Do zupę, do legumine, potrzebuje się cynamon. Coto jest cynamon? Jest taki kora z jedne drzewo. Gdzie mieszka taki drzewo cynamon?|Do czego potrzebuje się cynamon. Do zupę do legumine potrzebuje się cynamon. Coto jest cynamon? Jest taki kora z jedne drzewo. Gdzie mieszka taki drzewo cynamon?
lalka_1_03_f000197|W Indyi mieszka taki drzewo. Patrz na globus - tu leży Indyi. Daj mnie za dziesiątkę cynamon.|W Indyi mieszka taki drzewo. Patrz na globus - tu leży Indyi. Daj mnie za dziesiątkę cynamon.
lalka_1_03_f000198|O du Spitzbub!... jak tobie dam dziesięć raz dyscyplin, ty będziesz wiedział, ile sprzedać za dziesięć groszy cynamon.|O du Spitzbub!... jak tobie dam dziesięć raz dyscyplin ty będziesz wiedział ile sprzedać za dziesięć groszy cynamon.
lalka_1_03_f000199|W ten sposób przechodziliśmy każdą szufladę w sklepie i historyą każdego towaru.|W ten sposób przechodziliśmy każdą szufladę w sklepie i historyą każdego towaru.
lalka_1_03_f000200|Gdy zaś Mincel nie był zmęczony, dyktował mi jeszcze zadania rachunkowe, kazał sumować księgi, albo pisywać listy w interesach naszego sklepu.|Gdy zaś Mincel nie był zmęczony dyktował mi jeszcze zadania rachunkowe kazał sumować księgi albo pisywać listy w interesach naszego sklepu.
lalka_1_03_f000201|Mincel był bardzo porządny, nie cierpiał kurzu, ścierał go z najdrobniejszych przedmiotów.|Mincel był bardzo porządny nie cierpiał kurzu ścierał go z najdrobniejszych przedmiotów.
lalka_1_03_f000202|Jednych tylko dyscyplin nigdy nie potrzebował okurzać, dzięki swoim niedzielnym wykładom buchalteryi, jeografii i towaroznawstwa.|Jednych tylko dyscyplin nigdy nie potrzebował okurzać dzięki swoim niedzielnym wykładom buchalteryi jeografii i towaroznawstwa.
lalka_1_03_f000203|Powoli, w ciągu paru lat, tak przywykliśmy do siebie, że stary Mincel nie mógł obejść się bezemnie, a ja nawet jego dyscypliny począłem uważać za coś, co należało do familijnych stosunków.|Powoli w ciągu paru lat tak przywykliśmy do siebie że stary Mincel nie mógł obejść się bezemnie a ja nawet jego dyscypliny począłem uważać za coś co należało do familijnych stosunków.
lalka_1_03_f000204|Pamiętam, że nie mogłem utulić się z żalu, gdy raz zepsułem kosztowny samowar, a stary Mincel, zamiast chwytać za dyscyplinę - odezwał się:|Pamiętam że nie mogłem utulić się z żalu gdy raz zepsułem kosztowny samowar a stary Mincel zamiast chwytać za dyscyplinę - odezwał się:
lalka_1_03_f000205|Co ty zrobila Ignac?... Co ty zrobila!|Co ty zrobila Ignac?... Co ty zrobila!
lalka_1_03_f000206|Wolałbym dostać cięgi wszystkiemi dyscyplinami, aniżeli znowu kiedy usłyszeć ten drżący głos i zobaczyć wylęknione spojrzenie pryncypała.|Wolałbym dostać cięgi wszystkiemi dyscyplinami aniżeli znowu kiedy usłyszeć ten drżący głos i zobaczyć wylęknione spojrzenie pryncypała.
lalka_1_03_f000207|Obiady w dzień powszedni jadaliśmy w sklepie, naprzód dwaj młodzi Minclowie i August Katz, a następnie ja z pryncypałem.|Obiady w dzień powszedni jadaliśmy w sklepie naprzód dwaj młodzi Minclowie i August Katz a następnie ja z pryncypałem.
lalka_1_03_f000208|W czasie święta wszyscy zbieraliśmy się na górę i zasiadaliśmy do jednego stołu.|W czasie święta wszyscy zbieraliśmy się na górę i zasiadaliśmy do jednego stołu.
lalka_1_03_f000209|Na każdą wigilią Bożego Narodzenia, Mincel dawał nam podarunki, a jego matka w największym sekrecie urządzała nam (i swemu synowi) choinkę.|Na każdą wigilią Bożego Narodzenia Mincel dawał nam podarunki a jego matka w największym sekrecie urządzała nam i swemu synowi choinkę.
lalka_1_03_f000210|Wreszcie w pierwszym dniu miesiąca wszyscy dostawaliśmy pensyą (ja brałem 10 złotych).|Wreszcie w pierwszym dniu miesiąca wszyscy dostawaliśmy pensyą ja brałem dziesięć złotych.
lalka_1_03_f000211|Przy tej okazyi każdy musiał wylegitymować się z porobionych oszczędności: ja, Katz, dwaj synowcy i służba.|Przy tej okazyi każdy musiał wylegitymować się z porobionych oszczędności: ja Katz dwaj synowcy i służba.
lalka_1_03_f000212|Nie robienie oszczędności, a raczej nie odkładanie codzień choćby kilku groszy, było w oczach Mincla, takim występkiem, jak kradzież.|Nie robienie oszczędności a raczej nie odkładanie codzień choćby kilku groszy było w oczach Mincla takim występkiem jak kradzież.
lalka_1_03_f000213|Za mojej pamięci przewinęło się przez nasz sklep paru subiektów i kilku uczniów, których pryncypał dlatego tylko usunął, że nic sobie nie oszczędzili.|Za mojej pamięci przewinęło się przez nasz sklep paru subiektów i kilku uczniów których pryncypał dlatego tylko usunął że nic sobie nie oszczędzili.
lalka_1_03_f000214|Dzień, w którym się to wydało, był ostatnim ich pobytu. Nie pomogły obietnice, zaklęcia, całowania po rękach, nawet upadanie do nóg. Stary nie ruszył się z fotelu, nie patrzył na petentów, tylko wskazując palcem drzwi, wymawiał jeden wyraz: fort! fort!|Dzień w którym się to wydało był ostatnim ich pobytu. Nie pomogły obietnice zaklęcia całowania po rękach nawet upadanie do nóg. Stary nie ruszył się z fotelu nie patrzył na petentów tylko wskazując palcem drzwi wymawiał jeden wyraz: fort! fort!
lalka_1_03_f000215|Zasada robienia oszczędności stała się już u niego chorobliwem dziwactwem.|Zasada robienia oszczędności stała się już u niego chorobliwem dziwactwem.
lalka_1_03_f000216|Dobry ten człowiek miał jednę wadę, oto - nienawidził Napoleona.|Dobry ten człowiek miał jednę wadę oto - nienawidził Napoleona.
lalka_1_03_f000217|Sam nigdy o nim nie wspominał, lecz, na dźwięk nazwiska Bonapartego, dostawał jakby ataku wścieklizny; siniał na twarzy, pluł i wrzeszczał: szelma! szpitzbub! rozbójnik!|Sam nigdy o nim nie wspominał lecz na dźwięk nazwiska Bonapartego dostawał jakby ataku wścieklizny; siniał na twarzy pluł i wrzeszczał: szelma! szpitzbub! rozbójnik!
lalka_1_03_f000218|Usłyszawszy pierwszy raz tak szkaradne wymysły, nieomal straciłem przytomność.|Usłyszawszy pierwszy raz tak szkaradne wymysły nieomal straciłem przytomność.
lalka_1_03_f000219|Chciałem coś hardego powiedzieć staremu i uciec do pana Raczka, który już ożenił się z moją ciotką.|Chciałem coś hardego powiedzieć staremu i uciec do pana Raczka który już ożenił się z moją ciotką.
lalka_1_03_f000220|Nagle dostrzegłem, że Jan Mincel, zasłoniwszy usta dłonią, coś mruczy i robi miny do Katza. Wytężam słuch i - oto co mówi Jan:|Nagle dostrzegłem że Jan Mincel zasłoniwszy usta dłonią coś mruczy i robi miny do Katza. Wytężam słuch i - oto co mówi Jan:
lalka_1_03_f000221|Baje stryj, baje! Napoleon był chwat, choćby za to samo, że wygnał hyclów szwabów. Nieprawda Katz?|Baje stryj baje! Napoleon był chwat choćby za to samo że wygnał hyclów szwabów. Nieprawda Katz?
lalka_1_03_f000222|A August Katz zmrużył oczy i dalej krajał mydło.|A August Katz zmrużył oczy i dalej krajał mydło.
lalka_1_03_f000223|Osłupiałem ze zdziwienia, lecz w tej chwili bardzo polubiłem Jana Mincla i Augusta Katza.|Osłupiałem ze zdziwienia lecz w tej chwili bardzo polubiłem Jana Mincla i Augusta Katza.
lalka_1_03_f000224|Zczasem przekonałem się, że w naszym małym sklepie istnieją aż dwa wielkie stronnictwa, z których jedno składające się ze starego Mincla i jego matki, bardzo lubiło Niemców, a drugie, złożone z młodych Minclów i Katza, nienawidziło ich.|Zczasem przekonałem się że w naszym małym sklepie istnieją aż dwa wielkie stronnictwa z których jedno składające się ze starego Mincla i jego matki bardzo lubiło Niemców a drugie złożone z młodych Minclów i Katza nienawidziło ich.
lalka_1_03_f000225|O ile pamiętam, ja tylko byłem neutralny.|O ile pamiętam ja tylko byłem neutralny.
lalka_1_03_f000226|W roku 1846 doszły nas wieści o ucieczce Ludwika Napoleona z więzienia.|W roku jedna tysiąc osiemset czterdzieści sześć doszły nas wieści o ucieczce Ludwika Napoleona z więzienia.
lalka_1_03_f000227|Rok ten był dla mnie ważny, gdyż zostałem subiektem, a nasz pryncypał, stary Jan Mincel, zakończył życie, z powodów dosyć dziwnych.|Rok ten był dla mnie ważny gdyż zostałem subiektem a nasz pryncypał stary Jan Mincel zakończył życie z powodów dosyć dziwnych.
lalka_1_03_f000228|W roku tym handel w naszym sklepie nieco osłabnął, jużto z racyi ogólnych, już z tej, że pryncypał zaczęsto i zagłośno wymyślał na Ludwika Napoleona. Ludzie poczęli zniechęcać się do nas, a nawet ktoś (może Katz?|W roku tym handel w naszym sklepie nieco osłabnął jużto z racyi ogólnych już z tej że pryncypał zaczęsto i zagłośno wymyślał na Ludwika Napoleona. Ludzie poczęli zniechęcać się do nas a nawet ktoś może Katz?
lalka_1_03_f000229|..) wybił nam jednego dnia szybę w oknie.|.. wybił nam jednego dnia szybę w oknie.
lalka_1_03_f000230|Otóż wypadek ten, zamiast całkiem odstręczyć publiczność, zwabił ją do sklepu i przez tydzień mieliśmy tak duże obroty, jak nigdy; aż zazdrościli nam sąsiedzi.|Otóż wypadek ten zamiast całkiem odstręczyć publiczność zwabił ją do sklepu i przez tydzień mieliśmy tak duże obroty jak nigdy; aż zazdrościli nam sąsiedzi.
lalka_1_03_f000231|Po tygodniu jednakże sztuczny ruch nanowo osłabnął i znowu były w sklepie pustki.|Po tygodniu jednakże sztuczny ruch nanowo osłabnął i znowu były w sklepie pustki.
lalka_1_03_f000232|Pewnego wieczora, w czasie nieobecności pryncypała, co już stanowiło fakt niezwykły, wpadł nam drugi kamień do sklepu.|Pewnego wieczora w czasie nieobecności pryncypała co już stanowiło fakt niezwykły wpadł nam drugi kamień do sklepu.
lalka_1_03_f000233|Przestraszeni Minclowie pobiegli na górę i szukali stryja, Katz poleciał na ulicę szukać sprawcy zniszczenia, a wtem ukazało się dwu policyantów, ciągnących.|Przestraszeni Minclowie pobiegli na górę i szukali stryja Katz poleciał na ulicę szukać sprawcy zniszczenia a wtem ukazało się dwu policyantów ciągnących.
lalka_1_03_f000234|Proszę zgadnąć kogo?... Ani mniej, ani więcej, tylko - naszego pryncypała, oskarżając go, że to on wybił szybę teraz, a zapewne i poprzednio.|Proszę zgadnąć kogo?... Ani mniej ani więcej tylko - naszego pryncypała oskarżając go że to on wybił szybę teraz a zapewne i poprzednio.
lalka_1_03_f000235|Napróżno staruszek wypierał się: nietylko bowiem widziano jego zamach, ale jeszcze znaleziono przy nim kamień... Poszedł też nieborak do ratusza.|Napróżno staruszek wypierał się: nietylko bowiem widziano jego zamach ale jeszcze znaleziono przy nim kamień... Poszedł też nieborak do ratusza.
lalka_1_03_f000236|Sprawa, po wielu tłómaczeniach i wyjaśnieniach, naturalnie zatarła się; ale stary od tej chwili zupełnie stracił humor i począł chudnąć.|Sprawa po wielu tłómaczeniach i wyjaśnieniach naturalnie zatarła się; ale stary od tej chwili zupełnie stracił humor i począł chudnąć.
lalka_1_03_f000237|Pewnego zaś dnia, usiadłszy na swym fotelu pod oknem, już nie podniósł się z niego. Umarł, oparty brodą na księdze handlowej, trzymając w ręku sznurek, którym poruszał kozaka.|Pewnego zaś dnia usiadłszy na swym fotelu pod oknem już nie podniósł się z niego. Umarł oparty brodą na księdze handlowej trzymając w ręku sznurek którym poruszał kozaka.
lalka_1_03_f000238|Przez kilka lat po śmierci stryja, synowcy prowadzili wspólnie sklep na Podwalu i dopiero około 1850 roku podzielili się w ten sposób, że Franc został na miejscu z towarami kolonialnemi,|Przez kilka lat po śmierci stryja synowcy prowadzili wspólnie sklep na Podwalu i dopiero około jedna tysiąc osiemset п'pięćdziesiąt roku podzielili się w ten sposób że Franc został na miejscu z towarami kolonialnemi
lalka_1_03_f000239|a Jan z galanteryą i mydłem przeniósł się na Krakowskie, do lokalu, który zajmujemy obecnie.|a Jan z galanteryą i mydłem przeniósł się na Krakowskie do lokalu który zajmujemy obecnie.
lalka_1_03_f000240|W kilka lat później Jan ożenił się z piękną Małgorzatą Pfeifer, ona zaś (niech spoczywa w spokoju) zostawszy wdową,|W kilka lat później Jan ożenił się z piękną Małgorzatą Pfeifer ona zaś niech spoczywa w spokoju zostawszy wdową
lalka_1_03_f000241|oddała rękę swoję Stasiowi Wokulskiemu, który tym sposobem odziedziczył interes, prowadzony przez dwa pokolenia Minclów.|oddała rękę swoję Stasiowi Wokulskiemu który tym sposobem odziedziczył interes prowadzony przez dwa pokolenia Minclów.
lalka_1_03_f000242|Matka naszego pryncypała żyła jeszcze długi czas; kiedy w r. 1853 wróciłem z zagranicy, zastałem ją w najlepszem zdrowiu. Zawsze schodziła rano do sklepu i zawsze mówiła:|Matka naszego pryncypała żyła jeszcze długi czas; kiedy w r. jedna tysiąc osiemset п'pięćdziesiąt trzy wróciłem z zagranicy zastałem ją w najlepszem zdrowiu. Zawsze schodziła rano do sklepu i zawsze mówiła:
lalka_1_03_f000243|Gut Morgen meine Kinder! Kaffee ist schon fertig.|Gut Morgen meine Kinder! Kaffee ist schon fertig.
lalka_1_03_f000244|Tylko głos jej z roku na rok przyciszał się, dopóki wreszcie nie umilknął na wieki.|Tylko głos jej z roku na rok przyciszał się dopóki wreszcie nie umilknął na wieki.
lalka_1_03_f000245|Za moich czasów pryncypał był ojcem i nauczycielem swoich praktykantów i najczujniejszym sługą sklepu; jego matka lub żona były gospodyniami, a wszyscy członkowie rodziny pracownikami.|Za moich czasów pryncypał był ojcem i nauczycielem swoich praktykantów i najczujniejszym sługą sklepu; jego matka lub żona były gospodyniami a wszyscy członkowie rodziny pracownikami.
lalka_1_03_f000246|Dziś pryncypał bierze tylko dochody z handlu, najczęściej nie zna go i najwięcej troszczy się o to, ażeby jego dzieci nie zostały kupcami.|Dziś pryncypał bierze tylko dochody z handlu najczęściej nie zna go i najwięcej troszczy się o to ażeby jego dzieci nie zostały kupcami.
lalka_1_03_f000247|Nie mówię tu o Stasiu Wokulskim, który ma szersze zamiary, tylko myślę w ogólności, że kupiec powinien siedzieć w sklepie i wyrabiać sobie ludzi, jeżeli chce mieć porządnych.|Nie mówię tu o Stasiu Wokulskim który ma szersze zamiary tylko myślę w ogólności że kupiec powinien siedzieć w sklepie i wyrabiać sobie ludzi jeżeli chce mieć porządnych.
lalka_1_03_f000248|Słychać, że Andrassy zażądał 60 milionów guldenów na nieprzewidziane wydatki.|Słychać że Andrassy zażądał sześćdziesiąt milionów guldenów na nieprzewidziane wydatki.
lalka_1_03_f000249|Więc i Austrya zbroi się, a Staś tymczasem pisze mi, że - nie będzie wojny.|Więc i Austrya zbroi się a Staś tymczasem pisze mi że - nie będzie wojny.
lalka_1_03_f000250|Ponieważ nie był nigdy fanfaronem, więc chyba musi być bardzo wtajemniczony w politykę; a w takim razie siedzi w Bułgaryi nie przez miłość dla handlu.|Ponieważ nie był nigdy fanfaronem więc chyba musi być bardzo wtajemniczony w politykę; a w takim razie siedzi w Bułgaryi nie przez miłość dla handlu.
lalka_1_03_f000251|Ciekawym, co on zrobi. Ciekawym!..|Ciekawym co on zrobi. Ciekawym!..
lalka_1_04_f000001|Powrót.|Powrót.
lalka_1_04_f000002|Jest niedziela, szkaradny dzień marcowy; zbliża się południe, lecz ulice Warszawy są prawie puste.|Jest niedziela szkaradny dzień marcowy; zbliża się południe lecz ulice Warszawy są prawie puste.
lalka_1_04_f000003|Ludzie nie wychodzą z domów, albo kryją się w bramach, albo, skuleni, uciekają przed siekącym ich deszczem i śniegiem.|Ludzie nie wychodzą z domów albo kryją się w bramach albo skuleni uciekają przed siekącym ich deszczem i śniegiem.
lalka_1_04_f000004|Prawie nie słychać turkotu dorożek, gdyż dorożki stoją.|Prawie nie słychać turkotu dorożek gdyż dorożki stoją.
lalka_1_04_f000005|Dorożkarze, opuściwszy kozioł, wchodzą pod budy swoich powozów, a zmoczone deszczem i zasypane śniegiem konie,|Dorożkarze opuściwszy kozioł wchodzą pod budy swoich powozów a zmoczone deszczem i zasypane śniegiem konie
lalka_1_04_f000006|wyglądają tak, jakby pragnęły schować się pod dyszel i nakryć własnemi uszami.|wyglądają tak jakby pragnęły schować się pod dyszel i nakryć własnemi uszami.
lalka_1_04_f000007|Pomimo, a może z powodu tak brzydkiego czasu, pan Ignacy, siedząc w swoim zakratowanym pokoju, jest bardzo wesół.|Pomimo a może z powodu tak brzydkiego czasu pan Ignacy siedząc w swoim zakratowanym pokoju jest bardzo wesół.
lalka_1_04_f000008|Interesa sklepowe idą wybornie, wystawa w oknach na przyszły tydzień już ułożona, a nadewszystko - lada dzień ma powrócić Wokulski.|Interesa sklepowe idą wybornie wystawa w oknach na przyszły tydzień już ułożona a nadewszystko - lada dzień ma powrócić Wokulski.
lalka_1_04_f000009|Nareszcie pan Ignacy zda komuś rachunki i ciężar kierowania sklepem, najdalej zaś za dwa miesiące wyjedzie sobie na wakacye.|Nareszcie pan Ignacy zda komuś rachunki i ciężar kierowania sklepem najdalej zaś za dwa miesiące wyjedzie sobie na wakacye.
lalka_1_04_f000010|Po 25 latach pracy i jeszcze jakiej! należy mu się ten wypoczynek.|Po dwadzieścia pięć latach pracy i jeszcze jakiej! należy mu się ten wypoczynek.
lalka_1_04_f000011|Będzie rozmyślał tylko o polityce, będzie chodził, będzie biegał i skakał po polach i lasach, będzie świstał a nawet śpiewał, jak zamłodu.|Będzie rozmyślał tylko o polityce będzie chodził będzie biegał i skakał po polach i lasach będzie świstał a nawet śpiewał jak zamłodu.
lalka_1_04_f000012|Gdyby nie te bóle reumatyczne, które zresztą na wsi ustąpią.|Gdyby nie te bóle reumatyczne które zresztą na wsi ustąpią.
lalka_1_04_f000013|Więc choć deszcz ze śniegiem bije w zakratowane okna, choć pada tak gęsto, że w pokoju jest mrok, pan Ignacy ma wiosenny humor.|Więc choć deszcz ze śniegiem bije w zakratowane okna choć pada tak gęsto że w pokoju jest mrok pan Ignacy ma wiosenny humor.
lalka_1_04_f000014|Wydobywa zpod łóżka gitarę, dostraja ją i, wziąwszy kilka akordów, zaczyna śpiewać przez nos pieśń bardzo romantyczną:|Wydobywa zpod łóżka gitarę dostraja ją i wziąwszy kilka akordów zaczyna śpiewać przez nos pieśń bardzo romantyczną:
lalka_1_04_f000015|Wiosna się budzi w całej naturze,|Wiosna się budzi w całej naturze
lalka_1_04_f000016|Witana rzewnem słowików pieniem;|Witana rzewnem słowików pieniem;
lalka_1_04_f000017|W zielonym gaju, ponad strumieniem,|W zielonym gaju ponad strumieniem
lalka_1_04_f000018|Kwitną prześliczne dwie róże.|Kwitną prześliczne dwie róże.
lalka_1_04_f000019|Czarowne te dźwięki budzą śpiącego na kanapie pudla, który poczyna przypatrywać się jednem okiem swemu panu.|Czarowne te dźwięki budzą śpiącego na kanapie pudla który poczyna przypatrywać się jednem okiem swemu panu.
lalka_1_04_f000020|Dźwięki te robią więcej, gdyż wywołują na podwórzu jakiś ogromny cień, który staje w zakratowanym oknie i usiłuje zajrzeć do wnętrza izby, czem zwraca na siebie uwagę pan Ignacego.|Dźwięki te robią więcej gdyż wywołują na podwórzu jakiś ogromny cień który staje w zakratowanym oknie i usiłuje zajrzeć do wnętrza izby czem zwraca na siebie uwagę pan Ignacego.
lalka_1_04_f000021|Tak, to musi być Paweł - myśli pan Ignacy.|Tak to musi być Paweł - myśli pan Ignacy.
lalka_1_04_f000022|Ale Ir jest innego zdania; zeskakuje bowiem z kanapy i z niepokojem wącha drzwi, jakby czuł kogoś obcego.|Ale Ir jest innego zdania; zeskakuje bowiem z kanapy i z niepokojem wącha drzwi jakby czuł kogoś obcego.
lalka_1_04_f000023|Słychać szmer w sieniach. Jakaś ręka poszukuje klamki, nareszcie otwierają się drzwi i na progu staje ktoś, odziany w wielkie futro, upstrzone śniegiem i kroplami deszczu.|Słychać szmer w sieniach. Jakaś ręka poszukuje klamki nareszcie otwierają się drzwi i na progu staje ktoś odziany w wielkie futro upstrzone śniegiem i kroplami deszczu.
lalka_1_04_f000024|Kto to? - pyta się pan Ignacy i na twarz występują mu silne rumieńce.|Kto to? - pyta się pan Ignacy i na twarz występują mu silne rumieńce.
lalka_1_04_f000025|Jużeś o mnie zapomniał, stary?... - cicho i powoli odpowiada gość.|Jużeś o mnie zapomniał stary?... - cicho i powoli odpowiada gość.
lalka_1_04_f000026|Pan Ignacy mięsza się coraz bardziej. Zasadza na nos binokle, które mu spadają, potem wydobywa zpod łóżka trumienkowate pudło,|Pan Ignacy mięsza się coraz bardziej. Zasadza na nos binokle które mu spadają potem wydobywa zpod łóżka trumienkowate pudło
lalka_1_04_f000027|śpiesznie chowa gitarę i toż samo pudełko wraz z gitarą kładzie na swojem łóżku.|śpiesznie chowa gitarę i toż samo pudełko wraz z gitarą kładzie na swojem łóżku.
lalka_1_04_f000028|Tymczasem gość zdjął wielkie futro i baranią czapkę, a jednooki Ir, obwąchawszy go, poczyna kręcić ogonem, łasić się i z radosnem skomleniem przypadać mu do nóg.|Tymczasem gość zdjął wielkie futro i baranią czapkę a jednooki Ir obwąchawszy go poczyna kręcić ogonem łasić się i z radosnem skomleniem przypadać mu do nóg.
lalka_1_04_f000029|pan Ignacy zbliża się do gościa wzruszony i zgarbiony więcej niż kiedykolwiek.|pan Ignacy zbliża się do gościa wzruszony i zgarbiony więcej niż kiedykolwiek.
lalka_1_04_f000030|Zdaje mi się... - mówi, zacierając ręce - zdaje mi się, że mam przyjemność.|Zdaje mi się... - mówi zacierając ręce - zdaje mi się że mam przyjemność.
lalka_1_04_f000031|Potem gościa prowadzi do okna, mrugając powiekami.|Potem gościa prowadzi do okna mrugając powiekami.
lalka_1_04_f000032|Staś... jak mi Bóg miły!|Staś... jak mi Bóg miły!
lalka_1_04_f000033|Klepie go po wypukłej piersi, ściska za prawą i za lewą rękę, a nareszcie oparłszy na jego ostrzyżonej głowie swoję dłoń,|Klepie go po wypukłej piersi ściska za prawą i za lewą rękę a nareszcie oparłszy na jego ostrzyżonej głowie swoję dłoń
lalka_1_04_f000034|wykonywa nią taki ruch, jakby mu chciał maść wetrzeć w okolicę ciemienia.|wykonywa nią taki ruch jakby mu chciał maść wetrzeć w okolicę ciemienia.
lalka_1_04_f000035|Cha! cha! cha!... - śmieje się pan Ignacy - Staś, we własnej osobie.|Cha! cha! cha!... - śmieje się pan Ignacy - Staś we własnej osobie.
lalka_1_04_f000036|Staś z wojny!... Cóżto, dopiero teraz przypomniałeś sobie, że masz sklep i przyjaciół? - dodaje, mocno uderzając go w łopatkę: - Niech mię djabli wezmą, jeżeli nie jesteś podobny do żołnierza, albo marynarza, ale nigdy do kupca.|Staś z wojny!... Cóżto dopiero teraz przypomniałeś sobie że masz sklep i przyjaciół? - dodaje mocno uderzając go w łopatkę: - Niech mię djabli wezmą jeżeli nie jesteś podobny do żołnierza albo marynarza ale nigdy do kupca.
lalka_1_04_f000037|Przez ośm miesięcy nie był w sklepie!... Co za pierś... co za łeb.|Przez ośm miesięcy nie był w sklepie!... Co za pierś... co za łeb.
lalka_1_04_f000038|Gość także się śmiał. Objął Ignacego za szyję i po kilka razy gorąco ucałował go w oba policzki, które stary subiekt kolejno nadstawiał mu, nie oddając jednak pocałunków.|Gość także się śmiał. Objął Ignacego za szyję i po kilka razy gorąco ucałował go w oba policzki które stary subiekt kolejno nadstawiał mu nie oddając jednak pocałunków.
lalka_1_04_f000039|No i cóż słychać, stary, u ciebie? - odezwał się gość. - Wychudłeś, pobladłeś.|No i cóż słychać stary u ciebie? - odezwał się gość. - Wychudłeś pobladłeś.
lalka_1_04_f000040|Owszem, trochę nabieram ciała.|Owszem trochę nabieram ciała.
lalka_1_04_f000041|Posiwiałeś... Jakże się masz?|Posiwiałeś... Jakże się masz?
